accommodation,accommodations
marshalling yard,railroad yard
maths,math
metalled road,paved road
milometer,odometer
minim,half note
mobile phone,cell phone
monkey tricks,monkeyshines
motorway,expressway; highway
mum,mom
mummy,mommy
nappy,diaper
needlecord,pinwale
newsreader,newscaster
noughts and crosses,tic-tac-toe
number plate,license plate
off-licence,liquor store; package store
opencast mining,open-pit mining
ordinary share,common stock
oven glove,oven mitt
paddling pool,wading pool
paracetamol,acetaminophen
parting,part
patience,solitaire
pavement,sidewalk
pay packet,pay envelope
pedestrian crossing,crosswalk
peg,clothespin
pelmet,valance
petrol,gas; gasoline
physiotherapy,physical therapy
pinafore dress,jumper
plain chocolate,dark chocolate
plain flour,all-purpose flour
polo neck,turtleneck
positive discrimination,reverse discrimination
postal vote,absentee ballot
postbox,mailbox
postcode,zip code
potato crisp,potato chip
power point,electrical outlet
pram,baby carriage; stroller
press stud,snap
press-up,pushup
private soldier,GI
public school,private school
public transport,public transportation
punchbag,punching bag
pushchair,stroller
pylon,utility pole
quantity surveyor,estimator
quaver,eighth note
queue,line
racing car,race car
railway,railroad
real tennis,court tennis
recorded delivery,certified mail
registration plate,license plate
remould,retread
reverse the charges,call collect
reversing lights,back-up lights
right-angled triangle,right triangle
ring road,beltway
room only,European plan
roundabout,carousel
roundabout,traffic circle
rowing boat,rowboat
sailing boat,sailboat
saloon,sedan
sandpit,sandbox
sandwich cake,layer cake
sanitary towel,sanitary napkin
self-raising flour,self-rising flour
semibreve,whole note
semitone,half step
share option,stock option
shopping trolley,shopping cart
show house/home,model home
silencer,muffler
silverside,rump roast
skeleton in the cupboard,skeleton in the closet
skimmed milk,skim milk
skipping rope,jump rope
skirting board,baseboard
sledge,sled
sleeper,railroad tie
sleeping partner,silent partner
slowcoach,slowpoke
snakes and ladders,chutes and ladders
solicitor,lawyer
soya,soy
soya bean,soybean
splashback,backsplash
spring onion,green onion
stag night,bachelor party
Stanley knife,utility knife
starter,appetizer
state school,public school
storm in a teacup,tempest in a teapot
surtitle,supertitle
swede,rutabaga
sweet(s),candy
takeaway (food),takeout; to go
taxi rank,taxi stand
tea towel,dish towel
terrace house,row house
tick,check mark
ticket tout,scalper
tights,pantyhose
timber,lumber
titbit,tidbit
toffee apple,candy apple
touch wood,knock on wood
trade union,labor union
trading estate,industrial park
trainers,sneakers
tram,streetcar; cable car
transport cafe,truck stop
trolley,shopping cart
twelve-bore,twelve-gauge
unalike,unlike
underground,subway
vacuum flask,thermos bottle
verge,shoulder
vest,undershirt
veterinary surgeon,veterinarian
wagon,car
waistcoat,vest
walking frame,walker
wardrobe,closet
water ice,Italian ice
weatherboard,clapboard
white coffee,coffee with cream
white spirit,mineral spirits
wholemeal bread,wholewheat bread
windcheater,windbreaker
windscreen,windshield
wing,fender
worktop,countertop
Yale lock,cylinder lock
zebra crossing,crosswalk
zed,zee
zip,zipper
centre,center
fibre,fiber
litre,liter
theatre,theater
colour,color
flavour,flavor
humour,humor
labour,labor
neighbour,neighbor
analyse,analyze
breathalyse,breathalyze
paralyse,paralyze
travelled,traveled
travelling,traveling
traveller,traveler
fuelled,fueled
fuelling,fueling
leukaemia,leukemia
manoeuvre,maneuver
oestrogen,estrogen
paediatric,pediatric
defence,defense
licence,license
offence,offense
armour,armor
